domain_code,page_title,count_views
aa,main_page,3
aa,wikipedia:community_portal,2
aa.b,main_page,2
aa.b,special:createaccount,2
aa.b,special:userlogin,2
aa.d,main_page,1
aa.m,main_page,1
ab,ихадоу_адаҟьа,13
ab,авикипедиа:афорум,3
ab,авикипедиа:афорум/архив_4,3
ab,афаил:vk.com-logo.svg,3
ab,англыз_бызшәа,2
ab,бурса,2
ab,есперанто,2
ab,1619,1
ab,1928,1
ab,1956,1
ab,1958,1
ab,1959,1
ab,1960,1
ab,1966,1
ab,2005,1
ab,2010,1
ab,264,1
ab,авикипедиа:алфавиттә_арбага,1
ab,авикипедиа:описание,1
ab,агрба_(аҵакырацәара),1
ab,адана,1
ab,адаԥазары,1
ab,адин,1
ab,адлеиба_(аҵакырацәара),1
ab,адыиаман,1
ab.m,афаил:vk.com-logo.svg,17
ab.m,акатегориа:user_hu-1,3
ab.m,ихадоу_адаҟьа,2
ab.m,"рузвельт,_франклин_делано",2
ab.m,-,1
ab.m,299,1
ab.m,акатегориа:user_hu,1
ab.m,алахәыла:dkc,1
ab.m,алахәыла:esanders_(wmf),1
ab.m,аҳәынҭқарратә_агербқәа_рыхьӡынҵа,1
ab.m,урыстәыла,1
ace,ôn_keue,45
ace,beunantu:asoë,3
ace,wikipedia:meusapat,2
ace,ôn_keuë,2
ace,afrika_seulatan,1
ace,agama,1
ace,ankara,1
ace,bahsa_jeupun,1
ace,bahsa_parisi,1
ace,barack_obama,1
ace,basa_inggréh,1
ace,bèlgia,1
ace,ceunicah,1
ace,dushanbe,1
ace,edirne,1
ace,elizabeth_ii,1
ace,hiyori_sakurada,1
ace,illinois,1
ace,inggréh,1
ace,jeureuman,1
ace,kanon_tani,1
ace,kawan:teunuléh_nyang_asoejih_peureulèe_neutamah,1
ace,konomi_watanabe,1
ace,kota_ho_chi_minh,1
ace,la'ôt_okhotsk,1
ace.m,ôn_keuë,5
ace.m,iërupa,3
ace.m,ôn_keue,2
ace.m,siti_nurhaliza,2
ace.m,"beureukaih:the_three_wise_monkeys,_nikkō_tōshō-gū;_april_2018.jpg",2
ace.m,seunaleuëk:sarajevo_city_infobox,1
ace.m,éseulam,1
ace.m,wikipèdia,1
ace.m,turuki_utsmani,1
ace.m,srilanka,1
ace.m,seunaleuëk:teunuléh_peuniléh_6,1
ace.m,beureukaih:aşure_kaseleri.jpg,1
ace.m,seunaleuëk:infobox_settlement/doc,1
ace.m,pulo_jawa,1
ace.m,makassar,1
ace.m,"leupuëng,_acèh_rayek",1
ace.m,kawan:user_ksh,1
ace.m,irlandia,1
ace.m,internèt,1
ace.m,seunaleuëk:rusia_infobox,1
ady,user:198.251.89.80,6
ady,тыгъэ,4
ady,википедие:лъэпкъэгъу_ӏухьапӏ,3
ady,нэкӏубгъо_шъхьаӏ,3
ady,албаныбзэ,2
ady,арапыбзэ,2
ady,википедие:форум,2
ady,джуртыбзэ,2
ady,узбекыбзэ,2
ady,file:tiger_in_the_snow_at_the_detroit_zoo_march_2008_pic_2.jpg,1
ady,special:mytalk,1
ady,talk:нэкӏубгъо_шъхьаӏ/архив,1
ady,talk:прессэр_адыгэ_википедием_ехьылiагъэу,1
ady,template_talk:lang-en,1
ady,template_talk:адыгэ_республикэм_и_районыр,1
ady,белгие,1
ady,богота,1
ady,вашингтон_(къалэ),1
ady,еуро_зэкъотыныгъэ,1
ady,инджылызыбзэ,1
ady,кение,1
ady,къыблэ_африкэ_республикэ,1
ady,нагоя,1
ady,ощхы,1
ady,пекин,1
ady.m,адыгэ_республикэм_и_гимн,1
ady.m,нэкӏубгъо_шъхьаӏ,1
af,tuisblad,59
af,spesiaal:onlangse_wysigings,50
af,wikipedia:geselshoekie,27
af,spesiaal:soek,22
af,toepolef_tu-95,13
af,jános_starker,9
af,lêer:parvalustra_exigua_distribution_map.svg,8
af,kategorie:tjelliste,6
af,lêer:op_pad_na_die_forum_romanum.jpg,5
af,januarie,4
af,kategorie:amerikaanse_tjelliste,4
af,lêer:kolosseum_op_nuwejaarsdag_2020.jpg,4
af,lêer:piazza_venezia_in_rome_op_nuwejaarsdag_2020.jpg,4
af,switserland,4
af,wikipedia:gebruikersportaal,4
af,wikipedia:hulp,4
af,wikipedia:nuus_vir_gebruikers,4
af,belinda_carlisle,3
af,bespreking:tuisblad,3
af,franco_zeffirelli,3
af,fynskrif,3
af,gebruikerbespreking:oesjaar,3
af,kategorie:gereformeerde_kerke_in_suid-afrika,3
af,lêer:boubedrywighede_vir_die_nuwe_moltreinlyn_c_vlakby_die_kolosseum.jpg,3
af,lêer:flag_of_bulgaria.svg,3
af.d,kategorie:woorde_in_afrikaans,2
af.d,tuisblad,2
af.d,gebruikerbespreking:manie,1
af.d,hygroman,1
af.d,latyn,1
af.d,roman,1
af.d,vlug,1
af.m,elandré,131
af.m,tuisblad,50
af.m,lys_van_suid-afrikaanse_musikante,29
af.m,spesiaal:soek,27
af.m,-,23
af.m,fynskrif,20
af.m,anton_goosen,17
af.m,refentse_morake,16
af.m,nuwejaarsdag,15
af.m,swangerskap,15
af.m,lianie_may,10
af.m,gé_korsten,9
af.m,skrikkeljaar,8
af.m,galblaas,7
af.m,wikipedia:omtrent,7
af.m,bloedvat,6
af.m,elizma_theron,6
af.m,geboorte,6
af.m,hans_strydom_(akteur),6
af.m,manie_jackson,6
af.m,wikipedia:welkom_nuwelinge,6
af.m,appel_(sanger),5
af.m,baarmoeder,5
af.m,boer_soek_'n_vrou,5
af.m,freddie_mercury,5
af.m.b,tuisblad,1
af.m.d,spesiaal:soek,21
af.m.d,wiktionary:afrikaanse_woorde/be,10
af.m.d,-,8
af.m.d,tuisblad,7
af.m.d,afrikaans,5
af.m.d,betekenis,4
af.m.d,sinoniem,4
af.m.d,wiktionary:afrikaanse_woorde/si,4
af.m.d,wiktionary:woordelys/v,4
af.m.d,blokkiesraaisel,3
af.m.d,internis,3
af.m.d,vanweë,3
af.m.d,vertaal,3
af.m.d,wiktionary:afrikaanse_woorde/ge,3
af.m.d,finansiële,2
af.m.d,geleentheid,2
af.m.d,voedsel,2
af.m.d,weer,2
af.m.d,wiktionary:afrikaanse_woorde/ru,2
af.m.d,wiktionary:woordelys/m,2
af.m.d,aalwyn,1
af.m.d,beet,1
af.m.d,beweeg,1
af.m.d,blindederm,1
af.m.d,dankie,1
af.m.q,-,2
af.m.q,afrikaanse_spreekwoorde,1
af.m.q,tuisblad,1
af.q,afrikaans,2
af.q,tuisblad,2
af.q,kategorie:biologie,1
ak,krataafa_titiriw,11
ak,boa:contents,3
ak,ewia,2
ak,wikipedia:community_portal,2
ak,barack_obama,1
ak,belgium,1
ak,english,1
ak,ho_chi_minh_city,1
ak.m,krataafa_titiriw,8
ak.m,rɔhyea,4
ak.m,cameroon,1
ak.m,game_of_thrones,1
ak.m,j.b._danquah,1
ak.m,jerry_john_rawlings,1
ak.m,switzerland,1
ak.m,twi,1
als,wikipedia:houptsyte,55
als,kanton_aargau,13
als,brugg,6
als,wort:houptsyte,5
als,aargau,4
als,alemannisch,4
als,dominikanische_republik,4
als,marokko,4
als,vulgärlatein,4
als,wikipedia:hilfe,4
als,wikipedia:stammtisch,4
als,a3_(schweiz),3
als,armin_kuner,3
als,costa_rica,3
als,englische_sprache,3
als,mord_von_greifensee,3
als,prag,3
als,sonne,3
als,spezial:letschti_änderige,3
als,wikipedia:impressum,3
als,aare,2
als,ahrgau,2
als,alice_weidel,2
als,benutzer_diskussion:holder/archiv7,2
als,buech:houptsyte,2
als.m,wikipedia:houptsyte,21
als.m,griechische_zahlen,8
als.m,liste_der_chemischen_elemente_nach_dem_namen,4
als.m,alemannen_(name),3
als.m,buech:houptsyte,3
als.m,burgund,3
als.m,gesäss,3
als.m,john_f._kennedy,3
als.m,lo_&_leduc,3
als.m,otto_braig,3
als.m,pippiniden,3
als.m,schwäbisch,3
als.m,silvester,3
als.m,text:jules_meininger/die_simpelfransen.,3
als.m,wort:schwäbische_schimpfworte,3
als.m,albin_braig,2
als.m,benedikt_xvi.,2
als.m,bourgogne-franche-comté,2
als.m,christlich_demokratische_union_deutschlands,2
als.m,datei:blason_fr_bourgogne.svg,2
als.m,datei:gregory_xiii.jpg,2
als.m,dubai_(emirat),2
als.m,elvis_presley,2
als.m,erdzweige,2
als.m,europa,2
am,ዋናው_ገጽ,55
am,ትግርኛ,5
am,የኢትዮጵያ_ቋንቋዎች,5
am,ልዩ:search,3
am,ሮዛ_ፓርክስ,3
am,ኢንተርኔት_በኢትዮጵያ,3
am,እርዳታ:ይዞታ,3
am,እዣኛ,3
am,ልዩ:recentchanges,2
am,መደብ:ትግርኛ,2
am,ቡርሳ,2
am,አዊ,2
am,ውክፔዲያ_ውይይት:ምንጭጌ,2
am,ጆሮ_ጠቢ_በሌለበትም_ዘንድ_ጠብ_ጸጥ_ይላል,2
am,ፀሐይ,2
am,1928_እ.ኤ.አ.,1
am,1956_እ.ኤ.አ.,1
am,1958_እ.ኤ.አ.,1
am,1959_እ.ኤ.አ.,1
am,2005_እ.ኤ.አ.,1
am,2010_እ.ኤ.አ.,1
am,2020_እ.ኤ.አ.,1
am,20_december,1
am,264_እ.ኤ.አ.,1
am,2_ቴልጌልቴልፌልሶር,1
am.d,ዋና_ገጽ,4
am.d,wiktionary:የፈረንሳይኛ_ቅድመ-ታሪካዊ_አመጣጥ_-_ሷዴሽ_ዝርዝር,1
am.d,ሮማይስጥ,1
am.m,ዕንቁጣጣሽ,111
am.m,ዋናው_ገጽ,55
am.m,ልዩ:search,18
am.m,ኤችአይቪ,15
am.m,ስዕል:enkutatash.jpg,11
am.m,ስዕል:የሐበሻ_ተረት.pdf,11
am.m,በር:ኢትዮጵያ,11
am.m,ጥሩነሽ_ዲባባ,11
am.m,ሰዋስው,10
am.m,ግብረ_ስጋ_ግንኙነት,10
am.m,ቅዱስ_ጊዮርጊስ_(ሰማዕት),9
am.m,ተረት_ጠ,9
am.m,ድረ_ገጽ,9
am.m,እምስ,8
am.m,የኢትዮጵያ_ኦርቶዶክስ_ተዋሕዶ_ቤተ_ክርስቲያን,8
am.m,ሥርዓተ_ነጥቦች,7
am.m,ኢትዮጵያ,7
am.m,ዓፄ_ቴዎድሮስ,7
am.m,የማርቆስ_ወንጌል,7
am.m,ሰላማዊት_ገብሩ,6
am.m,በር:ኅብረተሰብ,6
am.m,አዮዲን,6
am.m,የኢትዮጵያ_ዘመን_አቆጣጠር,6
am.m,ይሖዋ,6
am.m,-,5
am.m.d,decay,3
am.m.d,comp_glossary_tu,1
am.m.d,wiktionary:የኢትዮጵያ_ሴማዊ_ሷዴሽ,1
am.m.d,ዋና_ገጽ,1
am.q,ዋና_ገጽ,1
an,portalada,58
an,lista_de_municipios_de_teruel,10
an,nanotecnolochía,6
an,wikipedia:aduya,6
an,lista_de_municipios_de_zamora,4
an,luengas_romances_occidentals,4
an,wikipedia:tabierna,4
an,alcalá_de_la_selba,3
an,homosexualidat,3
an,lista_de_municipios_de_badajoz,3
an,lista_de_municipios_de_cáceres,3
an,wikipedia:alvertencias_chenerals,3
an,wikipedia:sobre,3
an,1918,2
an,1960,2
an,1988,2
an,29_d'aviento,2
an,aladro,2
an,albarrazín,2
an,alcorisa,2
an,allueva,2
an,atomo,2
an,cantaviella,2
an,carbonio,2
an,castellot,2
an.d,categoría:español,1
an.d,descusión_imachen:wiki.png,1
an.d,imachen:copyright.svg,1
an.d,imachen:wikimedia-logo.svg,1
an.d,portalada,1
an.m,lista_de_municipios_de_granada,9
an.m,lista_de_municipios_de_malaga,8
an.m,lista_de_municipios_de_cantabria,7
an.m,lista_de_municipios_de_cordoba,7
an.m,lista_de_municipios_de_toledo,6
an.m,lista_de_municipios_de_badajoz,5
an.m,lista_de_municipios_de_sevilla,5
an.m,portalada,5
an.m,lista_de_municipios_de_cáceres,4
an.m,decenio,3
an.m,lista_de_municipios_de_castellón,3
an.m,lista_de_municipios_de_ciudad_real,3
an.m,lista_de_municipios_de_cuenca,3
an.m,lista_de_municipios_de_soria,3
an.m,lista_de_municipios_de_teruel,3
an.m,melania_trump,3
an.m,val_con_forma_d'u,3
an.m,alcorán,2
an.m,antoni_gaudí,2
an.m,calonche,2
an.m,cantabria,2
an.m,chorche_vi_d'o_reino_unito,2
an.m,lista_de_municipios_de_barcelona,2
an.m,lista_de_municipios_de_palencia,2
an.m,lista_de_municipios_de_venezuela,2
an.m.d,portalada,1
ang,hēafodtramet,15
ang,sunne,4
ang,help:innoþ,3
ang,john_clare,3
ang,bæmisc_sprǣc,2
ang,syndrig:search,2
ang,wikipǣdia:gemǣnscipes_ingang,2
ang,wikipǣdia:se_þorpes_wella,2
ang,1_ceres,1
ang,26._wēodmōnðes,1
ang,angelcirice,1
ang,angola,1
ang,arabas,1
ang,arabea,1
ang,awaisc_sprǣc,1
ang,barack_obama,1
ang,belgice,1
ang,bryten,1
ang,brūcend:calle_cool,1
ang,bysen:infobox_film,1
ang,bysen:listen,1
ang,catar,1
ang,catte,1
ang,cenia,1
ang,ceocōlāte,1
ang.b,hēafodsīde,2
ang.b,ymele:wikispecies-logo.svg,2
ang.b,syndrig:createaccount,1
ang.b,syndrig:userlogin,1
ang.d,hēafodtramet,3
ang.m,hēafodtramet,5
ang.m,wikipǣdia:how_to_edit_a_page,3
ang.m,affrica,1
ang.m,pauline_nordin,1
ang.m,wikipǣdia:sandbox,1
ang.m,wikipǣdia:gecorene_gemynddagas/14_þrimilcemōnaþ,1
ang.m,scotta_englisc,1
ang.m,rīn,1
ang.m,rosseg,1
ang.m,port:syndrigu_innung/portas,1
ang.m,nīwenglisc_sprǣc,1
ang.m,brūcend:ha98574/stats,1
ang.m,naruto,1
ang.m,lunden,1
ang.m,geāned_cynerīce,1
ang.m,elvis_presley,1
ang.m,camelēopard,1
ang.m,bysen:duru:betǣht_innung/dura,1
ang.m,buddendōm,1
ang.m,ænglisc_spræc,1
ang.m.b,hēafodsīde,1
ang.m.d,hēafodtramet,2
ang.m.d,swanc,1
ang.m.q,hēafodsīde,1
ang.q,hēafodsīde,1
ang.q,ymele:wiki.png,1
ang.s,hēafodtramet,2
ar,الصفحة_الرئيسية,722
ar,خاص:بحث,700
ar,special:mypage/qeditorpreferences.js,513
ar,-,127
ar,رأس_السنة_الميلادية,116
ar,خاص:أحدث_التغييرات,57
ar,كارلوس_غصن,56
ar,عثمان_الجرندي,45
ar,ليلة_رأس_السنة_الميلادية,43
ar,special:search,41
ar,ويكيبيديا:مسابقة_ويكيبيديا_السعودية/المقالات_المقترحة,39
ar,مستخدم:sadiqui/وصلاتي,38
ar,فيلم_إباحي,37
ar,يوتيوب,35
ar,إذاعة_القدس_(سوريا),34
ar,إكس_لارج_(فيلم),33
ar,الضرائب_في_دولة_فلسطين,33
ar,إبراهيم_فوزي,29
ar,برج_فلكي,29
ar,محمد,29
ar,وحدة_معالجة_مركزية,29
ar,مستخدم:mohanad_kh/وصلاتي,28
ar,اقتحام_السفارة_الأمريكية_في_بغداد_2019,26
ar,بوروسيا_دورتموند,26
ar,تقويم_ميلادي,26
ar.b,الصفحة_الرئيسية,6
ar.b,الطاقة/مصادر_الطاقة_المتجددة,6
ar.b,الحكامة,5
ar.b,خاص:بحث,5
ar.b,أساليب_وأنواع_التعلم,4
ar.b,الإدارة_الإلكترونية,4
ar.b,التظلم_الإداري_كسبب_لإنقطاع_الميعاد_الميعاد_في_دعوي_الإلغاء,3
ar.b,قواعد_اللغة_العربية_المبسطة,3
ar.b,مصادر_الطاقة,3
ar.b,نموذج_آشور_للتصميم_التعليمي,3
ar.b,الفلسفة_الإسلامية,2
ar.b,عربية,2
ar.b,مقدمة_الى_نظم_ادارة_قواعد_البيانات,2
ar.b,ويكي_الأطفال:أبجدية_الحيوانات,2
ar.b,ويكي_الأطفال:أبجدية_الحيوانات/م,2
ar.b,ويكي_الأطفال:الحروف_الأبجدية/طريقة_الكتابة,2
ar.b,deutschkurs_für_anfänger/lektion_025,1
ar.b,أزمة_التطور_الحضاري_في_الوطن_العربي,1
ar.b,الألمانية,1
ar.b,التجرد_والزيادة,1
ar.b,التسويق_الإلكتروني_-_دليل_adwords_للمبتدئين,1
ar.b,الجزء_الثانى_من_الدليل,1
ar.b,الزمن,1
ar.b,السبورة_التفاعلية,1
ar.b,السياق_اللغوي,1
ar.d,خاص:بحث,3
ar.d,نقاش_المستخدم:mohammed_alattas,3
ar.d,dietary,2
ar.d,آمِن,2
ar.d,أَهْرَبَ,2
ar.d,الصفحة_الرئيسية,2
ar.d,الكلمات_التي_تنتهي_بحرف_الراء,2
ar.d,ضلع,2
ar.d,ويكاموس:الميدان,2
ar.d,chômeur,1
ar.d,dick,1
ar.d,flea,1
ar.d,nisan,1
ar.d,pussy,1
ar.d,special:search,1
ar.d,weit,1
ar.d,آلَمَ,1
ar.d,أَتَى,1
ar.d,ا,1
ar.d,اسْتَوْطَن,1
ar.d,العرب,1
ar.d,تصنيف:أسماء_يابانية,1
ar.d,تَقُوْمَا,1
ar.d,خ,1
ar.d,خُفّ,1
ar.m,الصفحة_الرئيسية,5059
ar.m,خاص:بحث,2336
ar.m,-,2021
ar.m,رأس_السنة_الميلادية,850
ar.m,كارلوس_غصن,753
ar.m,special:search,540
ar.m,ليلة_رأس_السنة_الميلادية,537
ar.m,عيد_الميلاد,319
ar.m,بوبي_تشين,303
ar.m,برج_فلكي,269
ar.m,هيفاء_وهبي,269
ar.m,الآنسة_فرح_(مسلسل),268
ar.m,أرطغرل,245
ar.m,صلاة_الاستخارة,225
ar.m,صلاة_الاستسقاء,225
ar.m,تقويم_ميلادي,214
ar.m,محمد_عبده_(مغني),214
ar.m,فيلم_إباحي,211
ar.m,قائمة_الدول_والتبعيات_حسب_عدد_السكان,209
ar.m,بابا_نويل,208
ar.m,قابوس_بن_سعيد,195
ar.m,محمد,190
ar.m,الدولة_العثمانية,188
ar.m,تويتر,185
ar.m,جري_الوحوش_(فيلم),182
ar.m.b,مواضيع_الآيات_في_القرآن/عيسى,22
ar.m.b,العبرية/درس_5,12
ar.m.b,المواطن_الصالح,12
ar.m.b,قواعد_اللغة_العربية_المبسطة,12
ar.m.b,الطاقة/مصادر_الطاقة_المتجددة,11
ar.m.b,العبرية/المقدمة/الأبجدية,9
ar.m.b,علم_الاجتماع/النظرية_الاجتماعية,9
ar.m.b,الصفحة_الرئيسية,8
ar.m.b,الفلسفة_الإسلامية,8
ar.m.b,مواضيع_الآيات_في_القرآن/الشمس,7
ar.m.b,نموذج_آشور_للتصميم_التعليمي,7
ar.m.b,أساليب_وأنواع_التعلم,6
ar.m.b,ويكي_الأطفال:الحروف_الأبجدية/طريقة_الكتابة,6
ar.m.b,أزمة_التطور_الحضاري_في_الوطن_العربي,5
ar.m.b,التنافس_الإمبريالي_و_اندلاع_الحرب_العالمية_الأولى,5
ar.m.b,الحالات_الفيزيائية_للمادة_(الجزء_1),5
ar.m.b,اللغة_العربية/ضمائر,5
ar.m.b,تعريف_التربية_ومفهومها,5
ar.m.b,طرق_تطبيق_المبيدات,5
ar.m.b,البنوك_الإلكترونية,4
ar.m.b,الدولة_العباسية/خصائص_الحضارة_الإسلامية_في_العهد_العباسي,4
ar.m.b,العبرية/درس_3,4
ar.m.b,صحة_النبات,4
ar.m.b,كتاب_المفسدون_في_الأرض,4
ar.m.b,مايكروسوفت_أوفيس/أكسس,4
ar.m.d,الكلمات_التي_تنتهي_بحرف_الراء,15
ar.m.d,الصفحة_الرئيسية,9
ar.m.d,تصنيف:قافية_الميم,7
