domain_code,page_title,count_views
aa,main_page,17
aa,special:book,2
aa,special:citethispage,2
aa,special:electronpdf,2
aa,special:specialpages,2
aa,special:userlogin,2
aa,special:whatlinkshere/main_page,2
aa,talk:main_page,2
aa,wikipedia:community_portal,2
aa,wikipedia,1
aa,wikipedia:sandbox,1
aa.b,main_page,3
aa.d,main_page,1
aa.m,main_page,6
aa.m.b,main_page,1
ab,ихадоу_адаҟьа,17
ab,афаил:vk.com-logo.svg,5
ab,акатегориа:абелорус_бызшәа,4
ab,амра,4
ab,авикипедиа:афорум/архив_4,3
ab,авикипедиа:описание,3
ab,акатегориа:user_be-5,3
ab,акатегориа:абызшәақәа,3
ab,2006,2
ab,авикипедиа,2
ab,авикипедиа:афорум,2
ab,акатегориа:user_be,2
ab,акатегориа:user_be-n,2
ab,акатегориа:иалахәцәа_рбызшәақәа,2
ab,ашаблон:coord/link,2
ab,ашаблон:lang-be,2
ab,ашаблон:user_be-n,2
ab,1463,1
ab,1666,1
ab,1687,1
ab,1733,1
ab,1798,1
ab,1855,1
ab,1954,1
ab,1961,1
ab.m,афаил:vk.com-logo.svg,18
ab.m,алахәыла:თეკა/lexicon,2
ab.m,иапониа,2
ab.m,акәакьиаша,1
ab.m,алахәыла:otourly,1
ab.m,аҳәынҭқарратә_агербқәа_рыхьӡынҵа,1
ab.m,ихадоу_адаҟьа,1
ab.m,урыстәыла,1
ace,ôn_keue,36
ace,fisika,4
ace,beunantu:asoë,3
ace,marit_ureuëng_ngui:hégésippe_cormier,2
ace,twitter,2
ace,ôn_keuë,2
ace,amirika_syarikat,1
ace,bahsa_jeupun,1
ace,basa_inggréh,1
ace,beureukaih:flag_of_vladimirskaya_oblast.svg,1
ace,brussèl,1
ace,bumoë,1
ace,bèlgia,1
ace,donald_sutherland,1
ace,eungkôt,1
ace,facebook,1
ace,guinea_bissau,1
ace,gunong,1
ace,igai_no_yōgisha,1
ace,internèt,1
ace,iërupa_barat,1
ace,kristen,1
ace,kusuih:atra_lon_peugot,1
ace,kusuih:neuubah_baro,1
ace,kusuih:peugah_haba_lon,1
ace.m,ôn_keuë,8
ace.m,bahsa_urdu,5
ace.m,basa_arab,4
ace.m,ôn_keue,3
ace.m,wikipèdia,2
ace.m,-,1
ace.m,afrika,1
ace.m,al-manamah,1
ace.m,asia,1
ace.m,australasia,1
ace.m,"beureukaih:the_three_wise_monkeys,_nikkō_tōshō-gū;_april_2018.jpg",1
ace.m,binatang,1
ace.m,brussèl,1
ace.m,christopher_nolan,1
ace.m,corbin_bleu,1
ace.m,d,1
ace.m,fisika,1
ace.m,hongaria,1
ace.m,ian_mcdiarmid,1
ace.m,keurajeuën_mughal,1
ace.m,kusuih:mita,1
ace.m,ma'rifah,1
ace.m,meusé,1
ace.m,paus_fransiskus,1
ace.m,propinsi_kontum,1
advisory.m.m,main_page,1
ady,нэкӏубгъо_шъхьаӏ,9
ady,user:134.119.215.162,6
ady,тыгъэ,3
ady,special:mytalk,2
ady,википедие:лъэпкъэгъу_ӏухьапӏ,2
ady,википедия:избранные_статьи,2
ady,чiыгу,1
ady,хэгъэгухэр,1
ady,урымыбзэ,1
ady,украинэ,1
ady,узбекистан,1
ady,словакие,1
ady,осака,1
ady,латвие,1
ady,"максвелл,_джеймс_клерк",1
ady,интернет-лъыхъулъэ,1
ady,инджылызыбзэ,1
ady,вьетнам,1
ady,википедие:форум,1
ady,википедие:песочница,1
ady,википедие,1
ady,белгие,1
ady,чыристан_дин,1
ady.m,португалие,6
ady.m,владимир_путин,1
ady.m,нэкӏубгъо_шъхьаӏ,1
af,tuisblad,48
af,spesiaal:onlangse_wysigings,28
af,t-34_sowjettenk,16
af,lêer:parvalustra_exigua_distribution_map.svg,9
af,spesiaal:soek,8
af,toepolef_tu-114,6
af,tønsberg,5
af,verenigde_nasies,5
af,wikipedia:geselshoekie,5
af,christene,4
af,fisika,4
af,gebruiker:wwikix,4
af,iso_8601,4
af,toepolef_tu-95,4
af,wikipedia:general_disclaimer,4
af,wikipedia:wat_wikipedia_nie_is_nie,4
af,20ste_eeu,3
af,anchien_troskie,3
af,fynskrif,3
af,gebruiker:hyronimus299/christoph_brüx,3
af,heelal,3
af,iso_4217,3
af,koekie_(rekenaarwetenskap),3
af,"lêer:trap_na_die_tiber-oewerpad,_rome.jpg",3
af,rugbywêreldbeker_1999,3
af.b,tuisblad,6
af.d,sjabloon:documentation,11
af.d,gebruikerbespreking:k175,9
af.d,belasting,2
af.d,dankie,2
af.d,gebruikerbespreking:jcwf,2
af.d,hof,2
af.d,kamer,2
af.d,kategorie:alles,2
af.d,mars,2
af.d,module:documentation,2
af.d,module:parameters,2
af.d,proses,2
af.d,reg,2
af.d,ronga,2
af.d,tuisblad,2
af.d,vergelijken,2
af.d,verhalen,2
af.d,verkrijgen,2
af.d,veroveren,2
af.d,vertalen,2
af.d,wiktionary:geselshoekie,2
af.d,wiktionary:hoe_om_’n_nuwe_bladsy_te_skep,2
af.d,wiktionary:styl,2
af.d,artikel,1
af.d,balie,1
af.m,tuisblad,61
af.m,elandré,54
af.m,fynskrif,17
af.m,lys_van_suid-afrikaanse_musikante,13
af.m,elizma_theron,12
af.m,nuwejaarsdag,12
af.m,spesiaal:soek,12
af.m,brein,11
af.m,middeloorontsteking,11
af.m,-,10
af.m,refentse_morake,9
af.m,bosluisbytkoors,8
af.m,spoegwolf,8
af.m,lianie_may,7
af.m,ruan_josh,7
af.m,appel_(sanger),6
af.m,hans_strydom_(akteur),6
af.m,lys_van_medisinale_kruie,6
af.m,motorregistrasienommerplate_van_suid-afrika,6
af.m,afrikaans,5
af.m,anale_seks,5
af.m,arsenal_f.c.,5
af.m,cobus_rossouw_jr.,5
af.m,jannie_du_toit,5
af.m,kersfees,5
af.m.b,tuisblad,1
af.m.d,spesiaal:soek,13
af.m.d,sinoniem,6
af.m.d,afrikaans,5
af.m.d,tuisblad,5
af.m.d,wiktionary:afrikaanse_woorde/ge,5
af.m.d,kategorie:woorde_in_afrikaans,4
af.m.d,en,3
af.m.d,kategorie:afkortings_in_afrikaans,3
af.m.d,kleintongetjie,3
af.m.d,internis,2
af.m.d,lui,2
af.m.d,luiperd,2
af.m.d,maalstroom,2
af.m.d,nuwejaarsdag,2
af.m.d,oranje,2
af.m.d,sjabloon:redlink_category,2
af.m.d,vertaal,2
af.m.d,wiktionary:afrikaanse_woorde/be,2
af.m.d,wiktionary:afrikaanse_woorde/de,2
af.m.d,wiktionary:afrikaanse_woorde/ta,2
af.m.d,wiktionary:woordelys/v,2
af.m.d,wolof,2
af.m.d,-,1
af.m.d,a,1
af.m.d,antipon,1
af.m.q,tuisblad,1
af.q,tuisblad,2
ak,krataafa_titiriw,10
ak,ewia,3
ak,boa:contents,2
ak,belgium,1
ak,tokyo,1
ak,wikipedia:sandbox,1
ak,wikipedia:community_portal,1
ak,wikipedia,1
ak,uzbekistan,1
ak,united_states,1
ak,ukraine,1
ak,saekɔlɔgye,1
ak,slovakia,1
ak,orenburg,1
ak,latvia,1
ak,indonesia,1
ak,facebook,1
ak,english,1
ak,youtube,1
ak.m,krataafa_titiriw,4
ak.m,file:wikipedia-logo-v2.svg,2
ak.m,nea_enti_a_ananse_tare_odanpan_mu,2
ak.m,abawo,1
ak.m,azerbaijan,1
ak.m,ghana,1
ak.m,motorhead,1
ak.m,vienna,1
ak.m,wikipedia,1
als,wikipedia:houptsyte,55
als,brugg,14
als,schinznach-bad,6
als,spruch:houptsyte,6
als,physik,5
als,spezial:suech,5
als,wein,5
als,wikipedia:impressum,5
als,benutzer_diskussion:holder,4
als,jakob_hunziker,4
als,portal:wisseschaft,4
als,portugal,4
als,spezial:letschti_änderige,4
als,sprachfamilie,4
als,wikipedia:iber_wikipedia,4
als,wikipedia:kontakt,4
als,bauschelt,3
als,carl_gustav_jung,3
als,"datei:villa_gautschi,_boniswil.jpg",3
als,entartete_kunst,3
als,houptsyte,3
als,iso_3166,3
als,johann_gottfried_tulla,3
als,kalter_krieg,3
als,pornofilm,3
als.m,wikipedia:houptsyte,23
als.m,griechische_zahlen,9
als.m,liste_der_chemischen_elemente_nach_dem_namen,4
als.m,otto_braig,4
als.m,rütli-schwur,4
als.m,sketsch,4
als.m,text:volkslieder/lueget_vo_berg_und_tal,4
als.m,benutzer:christoph_franzen,3
als.m,konstitutionelle_monarchie,3
als.m,lo_&_leduc,3
als.m,schweizerdeutsch,3
als.m,alemannisch,2
als.m,arbon,2
als.m,burgund,2
als.m,calais,2
als.m,christina_aguilera,2
als.m,deutscher_bundestag,2
als.m,elsass_cola,2
als.m,eminem,2
als.m,gesäss,2
als.m,hans-peter_schifferle,2
als.m,houptsyte,2
als.m,januar,2
als.m,jesiden,2
als.m,kandersteg,2
am,ዋናው_ገጽ,46
am,ትግረኛ,5
am,ግስበት,5
am,ግዑዝነት,5
am,በር:ሳይንስ,4
am,ውክፔዲያ:ወቅታዊ_ጉዳዮች,4
am,የተፈጥሮ_ሕግጋት_ጥናት,4
am,ልዩ:mytalk,3
am,ልዩ:recentchanges,3
am,ልዩ:search,3
am,ውክፔዲያ:የኃላፊነት_ማስታወቂያ,3
am,ውይይት:ትግረኛ,3
am,ዩ_ቱብ,3
am,20ኛው_ምዕተ_ዓመት,2
am,ልዩ:mycontributions,2
am,ልዩ:version,2
am,መደብ:መመሪያዎች,2
am,መደብ:ሥነ-ተፈጥሮ,2
am,መደብ:ሳይንስ_ነክ_መዋቅሮች,2
am,መደብ:ሴማዊ_ቋንቋዎች,2
am,መደብ:የሳይንስ_ፍልስፍና,2
am,ሙቀት,2
am,ሞገድ,2
am,ሥነ-እንቅስቃሴ,2
am,ሳይንሳዊ_ዘዴ,2
am.m,ዕንቁጣጣሽ,99
am.m,ዋናው_ገጽ,34
am.m,ልዩ:search,21
am.m,ዓፄ_ቴዎድሮስ,20
am.m,ኢትዮጵያ,10
am.m,ስዕል:የሐበሻ_ተረት.pdf,9
am.m,በር:ኢትዮጵያ,9
am.m,ተረት_ጠ,9
am.m,አማርኛ,9
am.m,ስዕል:junge_hamer_in_südäthiopien.jpg,8
am.m,በር:ፍልስፍና,8
am.m,ኤችአይቪ,8
am.m,ግብረ_ስጋ_ግንኙነት,8
am.m,መዝገበ_ቃላት,7
am.m,ቅዱስ_ጊዮርጊስ_(ሰማዕት),7
am.m,በር:ቋንቋ,7
am.m,በዓሉ_ግርማ,7
am.m,ዳግማዊ_ምኒልክ,7
am.m,መደብ:አስቂኝ_ፊልሞች,6
am.m,ስዕል:coat_of_arms_of_the_kingdom_of_italy_(1870).svg,6
am.m,ኮምፒዩተር,6
am.m,ዘጠኙ_ቅዱሳን,6
am.m,የአድዋ_ጦርነት,6
am.m,የኢትዮጵያ_ህዝብ_መዝሙር,6
am.m,ጸጋዬ_ገብረ_መድህን,6
am.m.d,ዋና_ገጽ,2
am.m.d,a,1
am.m.d,wiktionary:ምዕራብ_አልጎንኲያን_ልሳናት_ሷዴሽ,1
am.q,ዋና_ገጽ,2
an,portalada,45
an,ferramienta,11
an,categoría:aduya,7
an,lista_de_municipios_de_teruel,7
an,categoría:ibons,6
an,especial:mirar,5
an,ibón_baixo_vachimanya,5
an,onda_zaragoza,5
an,categoría:parque_natural_de_pocetz-maladeta,4
an,fisica,4
an,gravedat,4
an,achar_de_forca,3
an,bozo_de_vernera,3
an,categoría:pachinas_que_fan_servir_vinclos_machicos_d'isbn,3
an,conquista_(cordoba),3
an,especial:zaguers_cambeos,3
an,ibón_d'el_sen,3
an,lista_de_municipios_de_castellón,3
an,lo_mas_de_las_matas,3
an,radio_las_fuentes,3
an,ramal,3
an,rueba_de_vernera,3
an,setzèra,3
an,wikipedia:alvertencias_chenerals,3
an,wikipedia:tabierna,3
an.d,mars,2
an.d,categoría:aduya,1
an.d,categoría:hawayán,1
an.d,imachen:wiki.png,1
an.m,lista_de_municipios_de_sevilla,6
an.m,lista_de_municipios_de_toledo,6
an.m,10_de_febrero,5
an.m,lista_de_municipios_de_malaga,5
an.m,borgonya,4
an.m,lista_de_municipios_de_cáceres,4
an.m,25_de_chinero,3
an.m,lista_de_municipios_de_ciudad_real,3
an.m,lista_de_municipios_de_cordoba,3
an.m,lista_de_municipios_de_cuenca,3
an.m,lista_de_municipios_de_granada,3
an.m,lista_de_municipios_de_segovia,3
an.m,portalada,3
an.m,13_de_febrero,2
an.m,15_de_febrero,2
an.m,1984,2
an.m,2009,2
an.m,20_de_febrero,2
an.m,accident_vascular_cerebral,2
an.m,agur_xiberua,2
an.m,ban_ki-moon,2
an.m,espés_d'alto,2
an.m,febrero,2
an.m,frida_kahlo,2
an.m,imachen:bondi_beach_sydney_australia_7.jpg,2
ang,hēafodtramet,12
ang,bysen:fix,5
ang,syndrig:mycontributions,4
ang,syndrig:mytalk,4
ang,nīwenglisc_sprǣc,3
ang,pulgaraland,3
ang,syndrig:search,3
ang,geānedu_rīcu_american,2
ang,help:innoþ,2
ang,sunne,2
ang,tristania,2
ang,wikicynn,2
ang,wikipǣdia:efenealde_belimpas,2
ang,wikipǣdia:gemǣnscipes_ingang,2
ang,wikipǣdia:how_to_edit_a_page,2
ang,wikipǣdia:protected_pages,2
ang,18._æfterran_gēolan,1
ang,25._gēolmōnðes,1
ang,7._æfterran_gēolan,1
ang,americanisce_ingefeoht,1
ang,belgice,1
ang,betweoxnett,1
ang,bosnia_and_herzegovina,1
ang,bryttisc_landbūnes,1
ang,bysen:fa-star,1
ang.b,hēafodsīde,2
ang.d,hēafodtramet,2
ang.d,mars,2
ang.d,flocc:hawaiisc_sprǽc,1
ang.m,hēafodtramet,3
ang.m,bryttisc_landbūnes,1
ang.m,bysen:country_data_bolivia,1
ang.m,bysen:stycce,1
ang.m,cēapmannahæfen,1
ang.m,dottatiger,1
ang.m,harold_gōdwines_sunu,1
ang.m,henric_æþeling_sūþseaxna_heretoga,1
ang.m,nasa,1
ang.m,niht,1
ang.m,nintendo_ds,1
ang.m,searucræft,1
ang.m,swissland,1
ang.m,tāprabane,1
ang.m,wikipǣdia:gecorene_gemynddagas/7_gēolmōnaþ,1
ang.m,ymele:dslite_white_trans.png,1
ang.m.b,hēafodsīde,1
ang.m.d,hēafodtramet,3
ang.q,ymele:wiki.png,2
ang.q,brūcend:lady_akasha_bot,1
ar,الصفحة_الرئيسية,681
ar,خاص:بحث,639
ar,special:mypage/qeditorpreferences.js,506
ar,خاص:أحدث_التغييرات,255
ar,رأس_السنة_الميلادية,126
ar,-,117
ar,كارلوس_غصن,63
ar,ويكيبيديا:مسابقة_ويكيبيديا_السعودية/المقالات_المقترحة,59
ar,ليلة_رأس_السنة_الميلادية,53
ar,اللجنة_الدولية_للصليب_الأحمر,47
ar,special:search,37
ar,المكسيك,35
ar,يوتيوب,35
ar,تصنيف:بوابة_صربيا/مقالات_متعلقة,33
ar,جامع_السلطان_أحمد,32
ar,ويكيبيديا:مسابقة_ويكيبيديا_السعودية/المشاركون,31
ar,فيسبوك,30
ar,ويكيبيديا:إخطار_الإداريين/منع/الحالية,30
ar,تجميل_الأسنان,28
ar,كرة_القدم,25
ar,قائمة_المسلسلات_التلفزيونية_التونسية,24
ar,كابتن_ماجد,24
ar,2020,22
ar,تقويم_ميلادي,22
ar,قائمة_حلقات_المحقق_كونان,22
ar.b,الصفحة_الرئيسية,12
ar.b,قالب:توثيق,10
ar.b,خاص:بحث,7
ar.b,أساليب_وأنواع_التعلم,5
ar.b,الطاقة/مصادر_الطاقة_الغير_متجددة,5
ar.b,الفلسفة_الإسلامية,5
ar.b,البرمجة,3
ar.b,الطاقة/مصادر_الطاقة_المتجددة,3
ar.b,علم_الاجتماع/النظرية_الاجتماعية,3
ar.b,التجرد_والزيادة,2
ar.b,التنافس_الإمبريالي_و_اندلاع_الحرب_العالمية_الأولى,2
ar.b,الطاقة/أنواع_الطاقة,2
ar.b,العالم_المتقدم_و_العالم_النامي,2
ar.b,تصنيف:قوالب,2
ar.b,خاص:مساهماتي,2
ar.b,خاص:نقاشي,2
ar.b,قالب:صفحة_توثيق,2
ar.b,قالب:صفحة_توثيق_فرعية,2
ar.b,مواضيع_الآيات_في_القرآن/عيسى,2
ar.b,نظرية_النسبية_للمبتدئين,2
ar.b,نموذج_آشور_للتصميم_التعليمي,2
ar.b,ويكي_الكتب:توثيق_قالب,2
ar.b,special:search,1
ar.b,أزمة_التطور_الحضاري_في_الوطن_العربي,1
ar.b,إحصاء/مباديء_الإحصاء,1
ar.d,الصفحة_الرئيسية,7
ar.d,ويكاموس:الميدان,6
ar.d,قالب:توثيق,5
ar.d,تصنيف:أفعال,4
ar.d,-,2
ar.d,mars,2
ar.d,بندق,2
ar.d,قالب:توثيق/شرح,2
ar.d,قالب:صفحة_توثيق_فرعية,2
ar.d,مساعدة:إنشاء_صفحة_جديدة,2
